section_id,year,term,prompt_type,comment_text
F2023-28,2023,Fall,best,I liked the style of this course. It did not feel overwhelming.
F2023-28,2023,Fall,best,I like learning how to manage operations
F2023-28,2023,Fall,best,N/A
F2023-28,2023,Fall,best,I enjoyed the easy–to–understand lectures and quality homework assignments.
F2023-28,2023,Fall,change,Nothing
F2023-28,2023,Fall,change,N/A
F2023-28,2023,Fall,change,I would do nothing differently.
F2023-28,2023,Fall,change,"I would not make every section of the course watch videos of lectures instead of in person or synchronous zoom lectures. The professor wasn't even in the video lectures so you are just watching his screen and hearing his voice, so it is not very engaging. I personally learn better in a synchronous class which is why I picked a section that was supposed to meet online on zoom and was disappointed when I realized all of the lectures were recordings. "
F2023-28,2023,Fall,change,Work on problems in class to best learned the materials 
F2023-28,2023,Fall,change,"I took the online version, where we had a scheduled zoom time. However, this was not lecture, he made our class time his office hours. "
F2023-28,2023,Fall,change,"Bring it back to in person. the videos were very long and boring, and I did not get a good grasp on the class."
F2023-28,2023,Fall,growth,He allows us to work at our own pace and gives us time to learn the material.
F2023-28,2023,Fall,growth,He explains the concepts well
F2023-28,2023,Fall,growth,N/A
F2023-28,2023,Fall,growth,Romulo posted easy–to–understand videos that encouraged critical thinking and allowed me to learn the course topics effectively. The homeworks were extremely well planned out to encourage student learning of the topics. He was always helpful during office hours and made sure to help you understand the course materials. Romulo is one of the best teachers I have had at Rutgers and made a challenging topic easy to understand.
F2023-28,2023,Fall,growth,"I did not like the layout of the class, it was confusing and not set up well."
F2023-28,2023,Fall,other,No
F2023-28,2023,Fall,other,N/A
F2023-28,2023,Fall,other,If a course is going to be asynchronous it should be stated as such when registering for classes. Some homework problems also did  not correlate very well with what we were watching in lectures.
F2023-25,2023,Fall,best,I liked how many resources he provided for us to use to learn from.
F2023-25,2023,Fall,best,I like that he made the course asych.
F2023-25,2023,Fall,best,The content.
F2023-25,2023,Fall,best,Everything!
F2023-25,2023,Fall,best,The course is organized online well!
F2023-25,2023,Fall,change,n/a
F2023-25,2023,Fall,change,Nothing.
F2023-25,2023,Fall,change,I would not do anything differently.
F2023-25,2023,Fall,change,I would do the same!
F2023-25,2023,Fall,change,"I would hold lectures during the assigned course time, the professor did not hold lectures during my class hours."
F2023-25,2023,Fall,change,No Professor could teach that many sections in one semester. Please reconsider the structure of this course for future semesters!
F2023-25,2023,Fall,growth,n/a
F2023-25,2023,Fall,growth,Video Lectures to look at outside of class.
F2023-25,2023,Fall,growth,N/A
F2023-25,2023,Fall,other,Please make this course only asynch... I could have done this asynchronously and then had another class at the time that we were supposed to meet.
F2023-25,2023,Fall,other,N/A
F2023-25,2023,Fall,other,Overall very decent course!
F2023-25,2023,Fall,other,N/A
F2023-24,2023,Fall,best,the vast amount of resources provided to us in order to succeed
F2023-24,2023,Fall,best,NA
F2023-24,2023,Fall,best,The online class format was very flexible and the sufficient time given to complete the homework is what i liked the best.
F2023-24,2023,Fall,best,flexibility
F2023-24,2023,Fall,best,nothing
F2023-24,2023,Fall,best,The professor seemed interested in providing resources for student learning
F2023-24,2023,Fall,best,The extra problems that were provided so that we may practice and deeply understand the material and not just encouraging memorization.
F2023-24,2023,Fall,change,Nothing
F2023-24,2023,Fall,change,NA
F2023-24,2023,Fall,change,I would condense the subject matter and assign homework so students aren't solely graded on tests.
F2023-24,2023,Fall,change,Actually be in class and teach the class as it's supposed to be taught
F2023-24,2023,Fall,change,Nothing
