section_id,year,term,clarity,fairness,overall,teaching_effectiveness
F2023-28,2023,Fall,3.93,3.96,3.6,3.62
F2023-25,2023,Fall,4,4.29,4.05,4.12
F2023-24,2023,Fall,4.1,4.24,4.02,4.09
F2023-23,2023,Fall,4.6,4.79,4.47,4.51
F2023-22,2023,Fall,4.19,4.37,4.07,4.21
F2023-21,2023,Fall,4.14,4.39,3.95,4.09
F2023-20,2023,Fall,4.14,4.27,4.07,4.11
F2023-largeclass,2023,Fall,4.23,4.31,4.06,4.1
S2023-90,2023,Spring,4.17,4.26,3.91,4.03
S2023-25,2023,Spring,3.97,4.03,3.89,3.94
S2023-20,2023,Spring,4.21,4.26,4.11,4.2
S2023-largeclass,2023,Spring,4.07,4.12,3.93,3.91
F2022-21,2022,Fall,4,4.24,3.74,3.91
F2022-20,2022,Fall,4.17,4.34,3.87,4
F2022-largeclass,2022,Fall,4.18,4.41,4.01,4.14
F2022-23,2022,Fall,4.18,4.25,4.07,4.11
S2022-21,2022,Spring,4.13,4.29,3.87,4.04
S2022-20,2022,Spring,4.15,4.43,3.95,4.07
S2022-largeclass,2022,Spring,3.97,4.2,3.78,3.92
F2021-H1,2021,Fall,4.15,4.31,3.96,4.08
F2021-90,2021,Fall,4.43,4.5,4.18,4.3
F2021-largeclass,2021,Fall,4.28,4.39,3.97,4.13
F2021-5B,2021,Fall,4.26,4.39,4.04,4.17
F2021-5A,2021,Fall,3.9,4.2,3.6,3.8
S2021-ALL,2021,Spring,4.08,4.08,3.83,3.98
F2020-ALL,2020,Fall,4.02,4.27,3.83,3.94
S2020-21,2020,Spring,4.07,4.23,3.77,3.98
S2020-20,2020,Spring,4.27,4.37,3.92,4.03
S2020-largeclass,2020,Spring,4.18,4.41,3.87,4.06
F2019-H1,2019,Fall,4.5,4.33,4.05,4.05
F2019-21,2019,Fall,3.75,4.07,3.53,3.68
F2019-20,2019,Fall,4.26,4.29,3.74,3.89
F2019-largeclass,2019,Fall,4.14,4.31,3.71,3.86
S2019-22,2019,Spring,4.14,4.02,3.78,3.93
S2019-21,2019,Spring,4.09,4.15,3.55,3.74
S2019-20,2019,Spring,4.14,4.12,3.55,3.67
S2019-largeclass,2019,Spring,3.72,3.68,3.32,3.31
F2018-largeclass,2018,Fall,4.25,4.39,3.97,3.91
F2018-21,2018,Fall,3.91,4.15,3.78,3.77
F2018-20,2018,Fall,4.47,4.55,4.22,4.25
S2018-largeclass,2018,Spring,4,4.24,3.81,3.78
S2018-21,2018,Spring,3.96,4.4,3.77,3.81
S2018-22,2018,Spring,4.18,4.51,3.94,4.04
