section_id,year,term,n_comments,clarity_norm,fairness_norm,sentiment_mean,effectiveness_score
F2023-28,2023,Fall,19,0.732,0.74,0.025,0.592
F2023-25,2023,Fall,18,0.75,0.822,0.086,0.761
F2023-24,2023,Fall,32,0.775,0.81,0.164,0.77
F2023-23,2023,Fall,22,0.9,0.948,0.169,0.771
F2023-22,2023,Fall,19,0.798,0.842,0.221,0.777
F2023-21,2023,Fall,14,0.785,0.847,0.22,0.776
F2023-20,2023,Fall,17,0.785,0.817,0.235,0.778
F2023-largeclass,2023,Fall,75,0.808,0.827,0.199,0.774
S2023-90,2023,Spring,39,0.792,0.815,0.212,0.775
S2023-25,2023,Spring,36,0.742,0.758,0.162,0.77
S2023-20,2023,Spring,33,0.802,0.815,0.154,0.769
S2023-largeclass,2023,Spring,199,0.768,0.78,0.206,0.775
F2022-21,2022,Fall,62,0.75,0.81,0.206,0.775
F2022-20,2022,Fall,49,0.792,0.835,0.345,0.79
F2022-largeclass,2022,Fall,314,0.795,0.852,0.228,0.777
F2022-23,2022,Fall,55,0.795,0.812,0.257,0.781
S2022-21,2022,Spring,64,0.782,0.822,0.257,0.781
S2022-20,2022,Spring,55,0.788,0.857,0.245,0.779
S2022-largeclass,2022,Spring,331,0.742,0.8,0.217,0.776
F2021-H1,2021,Fall,51,0.788,0.827,0.278,0.783
F2021-90,2021,Fall,59,0.857,0.875,0.285,0.784
F2021-largeclass,2021,Fall,542,0.82,0.847,0.228,0.777
F2021-5B,2021,Fall,22,0.815,0.847,0.245,0.779
F2021-5A,2021,Fall,28,0.725,0.8,0.128,0.766
S2021-ALL,2021,Spring,508,0.77,0.77,0.249,0.78
F2020-ALL,2020,Fall,529,0.755,0.817,0.225,0.777
S2020-21,2020,Spring,47,0.768,0.808,0.24,0.779
S2020-20,2020,Spring,62,0.817,0.842,0.179,0.772
S2020-largeclass,2020,Spring,314,0.795,0.852,0.199,0.774
F2019-H1,2019,Fall,31,0.875,0.832,0.218,0.776
F2019-21,2019,Fall,103,0.688,0.768,0.217,0.776
F2019-20,2019,Fall,65,0.815,0.822,0.172,0.771
F2019-largeclass,2019,Fall,450,0.785,0.827,0.172,0.771
S2019-22,2019,Spring,58,0.785,0.755,0.26,0.781
S2019-21,2019,Spring,65,0.772,0.788,0.173,0.771
S2019-20,2019,Spring,77,0.785,0.78,0.234,0.778
S2019-largeclass,2019,Spring,592,0.68,0.67,0.163,0.626
F2018-largeclass,2018,Fall,514,0.812,0.847,0.14,0.767
F2018-21,2018,Fall,144,0.728,0.788,0.155,0.769
F2018-20,2018,Fall,104,0.867,0.888,0.302,0.785
S2018-largeclass,2018,Spring,507,0.75,0.81,0.18,0.772
S2018-21,2018,Spring,91,0.74,0.85,0.203,0.774
S2018-22,2018,Spring,71,0.795,0.878,0.172,0.771
