year,term,clarity_norm,fairness_norm,overall_norm,teaching_effectiveness_norm
2018,Fall,0.8024999999999999,0.8408333333333333,0.7474999999999999,0.7441666666666666
2018,Spring,0.7616666666666667,0.8458333333333333,0.71,0.7191666666666666
2019,Fall,0.7906249999999999,0.8125,0.689375,0.7175
2019,Spring,0.755625,0.748125,0.6375,0.665625
2020,Fall,0.7549999999999999,0.8174999999999999,0.7075,0.735
2020,Spring,0.7933333333333333,0.8341666666666668,0.7133333333333334,0.7558333333333334
2021,Fall,0.8009999999999999,0.8394999999999999,0.7375,0.774
2021,Spring,0.77,0.77,0.7075,0.745
2022,Fall,0.783125,0.8275,0.7306250000000001,0.76
2022,Spring,0.7708333333333334,0.8266666666666667,0.7166666666666667,0.7525000000000001
2023,Fall,0.7915625,0.8318749999999999,0.7590625,0.7765625
2023,Spring,0.77625,0.791875,0.74,0.755
